Major:,Average Number of Hours Spent Studying Per Week:
Speech,10.8
Lesiure Studies,11.1
Physical Education,11.8
Marketing,12.1
Buisness Administration,13.2
Finance,13.3
Sociology,13.8
Psychology,13.9
Economics,14.4
Political Science,14.6
Computer Science,14.7
History,15
Accounting,15.1
Elementary Education,15.2
English,15.9
Theater,16
Anthropology,16
Philosophy,16.2
Mathematics,16.4
Biology,16.7
Music,17.5
Nursing,18
Art,18.1
Chemistry,18.4
Physics,19.7
Chemical Engineering,21.6
Architecture,23.7
